Number_of_R: 45
Number_of_Wannier_functions: 16
Hamiltonian:  
============================================================
index of R: 0.  R = [-1 -1 -2]
R = [-1 -1 -2], i = 13, j=7 :: H(i,j,R)= -0.0315-0.0077j 
R = [-1 -1 -2], i = 13, j=8 :: H(i,j,R)= 0.0226-0.0089j 
R = [-1 -1 -2], i = 13, j=9 :: H(i,j,R)= 0.0013-0.0036j 
R = [-1 -1 -2], i = 13, j=10 :: H(i,j,R)= -0.0086-0.0052j 
R = [-1 -1 -2], i = 13, j=11 :: H(i,j,R)= 0.0996+0.0047j 
R = [-1 -1 -2], i = 13, j=12 :: H(i,j,R)= 0.0317-0.0052j 
R = [-1 -1 -2], i = 13, j=13 :: H(i,j,R)= -0.0337-0.0018j 
R = [-1 -1 -2], i = 13, j=14 :: H(i,j,R)= 0.0508+0.0018j 
R = [-1 -1 -2], i = 13, j=15 :: H(i,j,R)= 0.0086+0.0012j 
R = [-1 -1 -2], i = 14, j=0 :: H(i,j,R)= 0.0322-0.0012j 
R = [-1 -1 -2], i = 14, j=1 :: H(i,j,R)= 0.0362-0.0027j 
R = [-1 -1 -2], i = 14, j=2 :: H(i,j,R)= 0.0323+0.0057j 
R = [-1 -1 -2], i = 14, j=3 :: H(i,j,R)= -0.1086-0.0020j 
R = [-1 -1 -2], i = 14, j=4 :: H(i,j,R)= 0.0278-0.0055j 
R = [-1 -1 -2], i = 14, j=5 :: H(i,j,R)= -0.0288-0.0050j 
R = [-1 -1 -2], i = 14, j=6 :: H(i,j,R)= 0.0039+0.0025j 
R = [-1 -1 -2], i = 14, j=7 :: H(i,j,R)= 0.0068+0.0061j 
R = [-1 -1 -2], i = 14, j=8 :: H(i,j,R)= -0.0141+0.0073j 
R = [-1 -1 -2], i = 14, j=9 :: H(i,j,R)= -0.0172+0.0057j 
R = [-1 -1 -2], i = 14, j=10 :: H(i,j,R)= 0.0996+0.0047j 
R = [-1 -1 -2], i = 14, j=11 :: H(i,j,R)= -0.0127-0.0040j 
R = [-1 -1 -2], i = 14, j=12 :: H(i,j,R)= -0.0367+0.0033j 
R = [-1 -1 -2], i = 14, j=13 :: H(i,j,R)= 0.0471+0.0016j 
R = [-1 -1 -2], i = 14, j=14 :: H(i,j,R)= -0.0340-0.0023j 
R = [-1 -1 -2], i = 14, j=15 :: H(i,j,R)= -0.0122-0.0018j 
R = [-1 -1 -2], i = 15, j=0 :: H(i,j,R)= 0.0091+0.0010j 
R = [-1 -1 -2], i = 15, j=1 :: H(i,j,R)= 0.0022+0.0010j 
R = [-1 -1 -2], i = 15, j=2 :: H(i,j,R)= 0.0484-0.0072j 
R = [-1 -1 -2], i = 15, j=3 :: H(i,j,R)= -0.0467+0.0071j 
R = [-1 -1 -2], i = 15, j=4 :: H(i,j,R)= 0.0340+0.0026j 
R = [-1 -1 -2], i = 15, j=5 :: H(i,j,R)= 0.0457+0.0034j 
R = [-1 -1 -2], i = 15, j=6 :: H(i,j,R)= -0.0139-0.0062j 
R = [-1 -1 -2], i = 15, j=7 :: H(i,j,R)= -0.0438-0.0025j 
R = [-1 -1 -2], i = 15, j=8 :: H(i,j,R)= -0.0341-0.0028j 
R = [-1 -1 -2], i = 15, j=9 :: H(i,j,R)= -0.0127-0.0112j 
R = [-1 -1 -2], i = 15, j=10 :: H(i,j,R)= 0.0317-0.0052j 
R = [-1 -1 -2], i = 15, j=11 :: H(i,j,R)= -0.0367+0.0033j 
R = [-1 -1 -2], i = 15, j=12 :: H(i,j,R)= -0.1491+0.0016j 
R = [-1 -1 -2], i = 15, j=13 :: H(i,j,R)= 0.0140-0.0044j 
R = [-1 -1 -2], i = 15, j=14 :: H(i,j,R)= -0.0118+0.0058j 
R = [-1 -1 -2], i = 15, j=15 :: H(i,j,R)= 0.0031-0.0021j 
------------------------------------------------------------
index of R: 1.  R = [-1 -1 -1]
R = [-1 -1 -1], i = 0, j=0 :: H(i,j,R)= -0.1365+0.0137j 
R = [-1 -1 -1], i = 0, j=1 :: H(i,j,R)= -0.0529+0.0079j 
R = [-1 -1 -1], i = 0, j=2 :: H(i,j,R)= -0.0398-0.0109j 
R = [-1 -1 -1], i = 0, j=3 :: H(i,j,R)= 0.0163+0.0044j 
R = [-1 -1 -1], i = 0, j=4 :: H(i,j,R)= -0.0908-0.0074j 
R = [-1 -1 -1], i = 0, j=5 :: H(i,j,R)= -0.0796-0.0092j 
R = [-1 -1 -1], i = 0, j=6 :: H(i,j,R)= -0.0043-0.0000j 
R = [-1 -1 -1], i = 0, j=7 :: H(i,j,R)= 0.0949-0.0065j 
R = [-1 -1 -1], i = 0, j=8 :: H(i,j,R)= 0.1042-0.0077j 
R = [-1 -1 -1], i = 0, j=9 :: H(i,j,R)= -0.0138+0.0038j 
R = [-1 -1 -1], i = 0, j=10 :: H(i,j,R)= 0.0140-0.0072j 
R = [-1 -1 -1], i = 0, j=11 :: H(i,j,R)= -0.0049+0.0138j 
R = [-1 -1 -1], i = 0, j=12 :: H(i,j,R)= 0.0000-0.0042j 
R = [-1 -1 -1], i = 0, j=13 :: H(i,j,R)= 0.0047+0.0015j 
R = [-1 -1 -1], i = 0, j=14 :: H(i,j,R)= 0.0098-0.0029j 
R = [-1 -1 -1], i = 0, j=15 :: H(i,j,R)= 0.0266+0.0025j 
R = [-1 -1 -1], i = 1, j=0 :: H(i,j,R)= -0.0529+0.0079j 
R = [-1 -1 -1], i = 1, j=1 :: H(i,j,R)= -0.1308+0.0091j 
R = [-1 -1 -1], i = 1, j=2 :: H(i,j,R)= -0.0209+0.0035j 
R = [-1 -1 -1], i = 1, j=3 :: H(i,j,R)= -0.0257-0.0133j 
R = [-1 -1 -1], i = 1, j=4 :: H(i,j,R)= -0.0426-0.0047j 
R = [-1 -1 -1], i = 1, j=5 :: H(i,j,R)= -0.0179-0.0060j 
R = [-1 -1 -1], i = 1, j=6 :: H(i,j,R)= -0.0061+0.0069j 
R = [-1 -1 -1], i = 1, j=7 :: H(i,j,R)= 0.0336-0.0077j 
R = [-1 -1 -1], i = 1, j=8 :: H(i,j,R)= 0.0567-0.0086j 
R = [-1 -1 -1], i = 1, j=9 :: H(i,j,R)= -0.0172+0.0026j 
R = [-1 -1 -1], i = 1, j=10 :: H(i,j,R)= 0.0262-0.0004j 
R = [-1 -1 -1], i = 1, j=11 :: H(i,j,R)= 0.0001+0.0069j 
R = [-1 -1 -1], i = 1, j=12 :: H(i,j,R)= -0.0123-0.0028j 
R = [-1 -1 -1], i = 1, j=13 :: H(i,j,R)= 0.0129+0.0035j 
R = [-1 -1 -1], i = 1, j=14 :: H(i,j,R)= 0.0093-0.0034j 
R = [-1 -1 -1], i = 1, j=15 :: H(i,j,R)= 0.0281+0.0005j 
R = [-1 -1 -1], i = 2, j=0 :: H(i,j,R)= 0.0194+0.0026j 
R = [-1 -1 -1], i = 2, j=1 :: H(i,j,R)= 0.0322+0.0075j 
R = [-1 -1 -1], i = 2, j=2 :: H(i,j,R)= 0.0813-0.0167j 
R = [-1 -1 -1], i = 2, j=3 :: H(i,j,R)= -0.1684+0.0218j 
R = [-1 -1 -1], i = 2, j=4 :: H(i,j,R)= 0.0082+0.0043j 
